planificacion_slug,convocatoria_slug,adjudicacion_slug,precalificacion_slug,convenio_slug,nro_licitacion,nombre_licitacion,tipo_procedimiento,categoria,convocante,_etapa_licitacion,etapa_licitacion,fecha_entrega_oferta,tipo_licitacion,fecha_estimada,fecha_publicacion_convocatoria,geo,
193902-adquisicion-equipos-comunicacion-senalamiento,193902-adquisicion-equipos-comunicacion-senalamiento,193902-adquisicion-equipos-comunicacion-senalamiento,,,193902,ADQUISICION DE EQUIPOS DE COMUNICACION Y SEÑALAMIENTO,CO - Concurso de Ofertas,"24 - Equipos, accesorios y programas computacionales, de oficina, educativos, de imprenta, de comunicación y señalamiento",Ministerio de Agricultura y Ganadería / Poder Ejecutivo,ADJ,Adjudicada,2010-05-05 13:30:00,tradicional,2019-06-06 00:00:00,2010-04-22 11:01:23,,
327416-adquisicion-equipos-informaticos-hospital-especialidades-quirurgicas-ingavi-i-p-s-1,327416-lpn-sbe-162-18-adquisicion-equipos-informaticos-comunicaciones-hospital-especialidad-1,327416-lpn-sbe-162-18-adquisicion-equipos-informaticos-comunicaciones-hospital-especialidad-1,,,327416,LPN SBE 162-18 ADQUISICION DE EQUIPOS INFORMATICOS Y DE COMUNICACIONES PARA EL HOSPITAL DE ESPECIALIDADES QUIRURGICAS INGAVI DEL IPS - AD REFERENDUM 2019 ,LPN - Licitación Pública Nacional,"24 - Equipos, accesorios y programas computacionales, de oficina, educativos, de imprenta, de comunicación y señalamiento",Instituto de Previsión Social / Entidades Públicas de Seguridad Social,ADJ,Adjudicada,2019-02-15 08:00:00,tradicional,2019-01-31 00:00:00,2018-11-23 11:10:30,,
333535-mantenimiento-preventivo-correctivo-equipos-biomedicos-marca-carefusion-medix-philip-1,333535-mantenimiento-preventivo-correctivo-equipos-biomedicos-marca-carefusion-medix-philip-3,333535-mantenimiento-preventivo-correctivo-equipos-biomedicos-marca-carefusion-medix-philip-1,,,,333535,MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE EQUIPOS BIOMEDICOS DE LA MARCA CAREFUSION/ MEDIX/ PHILIPS/ DIXTAL INSTALADOS EN EL CENTRO MEDICO NACIONAL - HOSPITAL NACIONAL,LPN - Licitación Pública Nacional,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Ministerio de Salud Pública y Bienestar Social / Poder Ejecutivo,EVAL,En Evaluacion (Cerrada),2019-09-12 08:50:00,tradicional,2019-04-30 00:00:00,2019-06-26 16:02:59,
336116-adquisicion-vehiculo-elevador-1,336116-adquisicion-vehiculo-elevador-cambio-insumos-iluminacion-semaforos-ciudad-asuncion-3,336116-adquisicion-vehiculo-elevador-cambio-insumos-iluminacion-semaforos-ciudad-asuncion-1,,,,336116,ADQUISICION DE VEHICULO CON ELEVADOR PARA CAMBIO DE INSUMOS DE ILUMINACION DE LOS SEMAFOROS DE LA CIUDAD DE ASUNCION,CO - Concurso de Ofertas,"22 - Maquinarias, Equipos y herramientas mayores - Equipos de transporte",Municipalidad de Asunción / Municipalidades,CONV,En Convocatoria (Abierta),2019-10-16 11:00:00,tradicional,2019-08-31 00:00:00,2019-08-27 17:27:46,
336648-reparaciones-restauracion-parques-sanitarios-9na-region-sanitaria-paraguari-4ta-regi-1,336648-reparaciones-restauracion-parques-sanitarios-9na-region-sanitaria-paraguari-4ta-regi-1,,,,336648,REPARACIONES Y RESTAURACIÓN VARIAS DE PARQUES SANITARIOS DE LA 9NA REGIÓN SANITARIA -PARAGUARI Y 4TA REGIÓN SANITARIA -GUAIRA ,LPN - Licitación Pública Nacional,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Ministerio de Salud Pública y Bienestar Social / Poder Ejecutivo,EVAL,En Evaluacion (Cerrada),2019-07-16 08:50:00,tradicional,2019-02-28 00:00:00,2019-06-18 16:39:26,,
339274-mantenimiento-reparacion-desmalezadora-corta-cesped-central-telefonica-inat-e-inan-1,339274-mantenimiento-reparacion-desmalezadora-corta-cesped-central-telefonica-inat-e-inan-1,,,,339274,"MANTENIMIENTO Y REPARACION DE DESMALEZADORA, CORTA CESPED Y CENTRAL TELEFONICA PARA INAT E INAN",CD - Contratación Directa,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Ministerio de Salud Pública y Bienestar Social / Poder Ejecutivo,DES,Desierta,2018-02-20 09:50:00,tradicional,2019-04-30 00:00:00,2018-01-18 14:49:19,,
339317-reparacion-centro-salud-valenzuela-don-roque-acuna-iii-region-sanitaria-cordillera-1,339317-reparacion-centro-salud-valenzuela-don-roque-acuna-iii-region-sanitaria-cordillera-1,339317-reparacion-centro-salud-valenzuela-don-roque-acuna-iii-region-sanitaria-cordillera-1,,,339317,"REPARACION DEL CENTRO DE SALUD DE VALENZUELA ""DON ROQUE ACUÑA""-III REGION SANITARIA - CORDILLERA",CD - Contratación Directa,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Ministerio de Salud Pública y Bienestar Social / Poder Ejecutivo,ADJ,Adjudicada,2019-07-23 09:50:00,tradicional,2019-05-31 00:00:00,2019-06-28 14:32:53,,
341028-mantenimiento-general-edificios-gran-asuncion-1,341028-mantenimiento-edilicio-vinas-kue-1,341028-mantenimiento-edilicio-vinas-kue-1,,,341028,Mantenimiento edilicio Viñas Kue,LPN - Licitación Pública Nacional,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Empresa de Servicios Sanitarios del Paraguay / Soc. Anónimas con Part. Accionaria Mayoritaria del Estado,ADJ,Adjudicada,2019-02-25 09:00:00,tradicional,2019-02-28 00:00:00,2019-01-25 14:41:42,,
341543-servicio-mantenimiento-equipos-informaticos-toda-compania-1,341543-mantenimiento-preventivo-correctivo-servidores-1,341543-mantenimiento-preventivo-correctivo-servidores-1,,,341543,MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE SERVIDORES,CO - Concurso de Ofertas,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Compañía Paraguaya de Comunicaciones / Soc. Anónimas con Part. Accionaria Mayoritaria del Estado,ADJ,Adjudicada,2019-01-11 08:50:00,tradicional,2019-03-31 00:00:00,2018-12-13 17:17:33,,
341548-mantenimiento-preventivo-correctivo-ups-1,341548-mantenimiento-preventivo-correctivo-ups-3,341548-mantenimiento-preventivo-correctivo-ups-1,,,,341548,MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE UPS,CD - Contratación Directa,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Compañía Paraguaya de Comunicaciones / Soc. Anónimas con Part. Accionaria Mayoritaria del Estado,CONV,En Convocatoria (Abierta),2019-10-10 10:00:00,tradicional,2019-07-31 00:00:00,2019-09-05 16:16:20,
341552-renovacion-licencias-varias-1,341552-renovacion-licencias-varias-1,341552-renovacion-licencias-varias-1,,,341552,RENOVACIÓN DE LICENCIAS VARIAS,LPN - Licitación Pública Nacional,"24 - Equipos, accesorios y programas computacionales, de oficina, educativos, de imprenta, de comunicación y señalamiento",Compañía Paraguaya de Comunicaciones / Soc. Anónimas con Part. Accionaria Mayoritaria del Estado,ADJ,Adjudicada,2019-01-14 07:30:00,tradicional,2019-03-31 00:00:00,2018-12-12 08:47:11,,
341614-reparacion-montacargas-1,341614-lp1450-18-contratacion-servicio-integral-limpieza-edificios-areas-libres-ande-ad-ref-1,341614-lp1450-18-contratacion-servicio-integral-limpieza-edificios-areas-libres-ande-ad-ref-1,,,341614,Lp1450-18.Contratación de Servicio Integral de Limpieza de Edificios y Áreas Libres de la ANDE - Ad Referéndum,LPN - Licitación Pública Nacional,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Administración Nacional de Electricidad / Empresas Públicas,ADJ,Adjudicada,2018-12-17 09:00:00,tradicional,2019-04-30 00:00:00,2018-11-23 17:14:57,,
341684-adquisicion-componentes-accesorios-generacion-hidroelectrica-1,341684-lp1456-18-adquisicion-materiales-alumbrado-publico-ad-referendum-1,341684-lp1456-18-adquisicion-materiales-alumbrado-publico-ad-referendum-1,,,341684,Lp1456-18 Adquisición de Materiales para Alumbrado Público - Ad Referéndum,LPI - Licitación Pública Internacional,"22 - Maquinarias, Equipos y herramientas mayores - Equipos de transporte",Administración Nacional de Electricidad / Empresas Públicas,ADJ,Adjudicada,2019-02-01 07:30:00,tradicional,2019-06-30 00:00:00,2019-01-02 10:50:09,,
341753-mantenimiento-edificios-locales-boggiani-depositos-regionales-1,341753-lco1013-servicio-mantenimiento-ascensores-edificio-sede-central-1,341753-lco1013-servicio-mantenimiento-ascensores-edificio-sede-central-1,,,341753,lco1013_Servicio de Mantenimiento de Ascensores del Edificio Sede Central,CO - Concurso de Ofertas,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Administración Nacional de Electricidad / Empresas Públicas,ADJ,Adjudicada,2018-12-28 08:00:00,tradicional,2019-02-28 00:00:00,2018-12-18 15:07:38,,
341823-servicio-reordenamiento-clasificacion-almacenamiento-materiales-depositos-san-lorenz-1,341823-lp1454-18-servicio-reordenamiento-clasificacion-almacenamiento-materiales-depositos-1,341823-lp1454-18-servicio-reordenamiento-clasificacion-almacenamiento-materiales-depositos-1,,,341823,"Lp1454-18.Servicio de Reordenamiento, Clasificación y Almacenamiento de Materiales en Depósitos San Lorenzo-Boggiani- Ciudad del Este ",LPN - Licitación Pública Nacional,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Administración Nacional de Electricidad / Empresas Públicas,ADJ,Adjudicada,2019-01-30 09:00:00,tradicional,2019-04-30 00:00:00,2018-12-18 14:56:02,,
341900-adquisicion-electrobombas-centrifugas-bipartidas-1,341900-adquisicion-electrobombas-centrifugas-bipartidas-3,341900-adquisicion-electrobombas-centrifugas-bipartidas-ad-referendum-1,,,,341900,Adquisición de Electrobombas Centrífugas Bipartidas,LPN - Licitación Pública Nacional,"22 - Maquinarias, Equipos y herramientas mayores - Equipos de transporte",Empresa de Servicios Sanitarios del Paraguay / Soc. Anónimas con Part. Accionaria Mayoritaria del Estado,CAN,Anulada o Cancelada,2019-04-12 12:30:00,tradicional,2019-07-31 00:00:00,2019-03-13 17:22:55,
341943-reparaciones-tuberias-de-asuncion-area-metropolitana-1,341943-contratistas-reparaciones-tuberias-de-asuncion-area-metropolitana-1,341943-contratistas-reparaciones-tuberias-de-asuncion-area-metropolitana-1,,,341943,Contratistas Reparaciones de Tuberias de de Asunción y Area Metropolitana,LPN - Licitación Pública Nacional,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Empresa de Servicios Sanitarios del Paraguay / Soc. Anónimas con Part. Accionaria Mayoritaria del Estado,ADJ,Adjudicada,2019-05-02 09:00:00,tradicional,2019-03-31 00:00:00,2019-03-12 17:42:38,,
341953-adquisicion-televisores-led-42-centros-atencion-cliente-1,341953-adquisicion-televisores-led-42-centros-atencion-cliente-1,341953-adquisicion-televisores-led-42-centros-atencion-cliente-1,,,341953,ADQUISICIÓN DE TELEVISORES LED DE 42 PARA LOS CENTROS DE ATENCIÓN AL CLIENTE,CD - Contratación Directa,"24 - Equipos, accesorios y programas computacionales, de oficina, educativos, de imprenta, de comunicación y señalamiento",Compañía Paraguaya de Comunicaciones / Soc. Anónimas con Part. Accionaria Mayoritaria del Estado,ADJ,Adjudicada,2019-02-07 10:00:00,tradicional,2019-01-31 00:00:00,2019-01-30 07:49:41,,
342004-adquisicion-sistema-control-activo-fijo-1,342004-adquisicion-sistema-control-activo-fijo-1,,,,342004,ADQUISICIÓN DE SISTEMA DE CONTROL DE ACTIVO FIJO,CO - Concurso de Ofertas,"24 - Equipos, accesorios y programas computacionales, de oficina, educativos, de imprenta, de comunicación y señalamiento",Municipalidad de Asunción / Municipalidades,EVAL,En Evaluacion (Cerrada),2019-06-07 09:00:00,tradicional,2019-01-31 00:00:00,2019-01-24 08:28:18,,
342062-contratacion-servicio-mantenimiento-preventivo-correctivo-provision-repuestos-demand-1,342062-contratacion-servicio-mantenimiento-preventivo-correctivo-provision-repuestos-demand-1,342062-contratacion-servicio-mantenimiento-preventivo-correctivo-provision-repuestos-demand-1,,,342062,CONTRATACIÓN DE SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO CON PROVISION DE REPUESTOS A DEMANDA PARA EQUIPOS BIOMEDICOS DE LA MARCA SIEMENS DEL MSP Y BS ,LPN - Licitación Pública Nacional,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Ministerio de Salud Pública y Bienestar Social / Poder Ejecutivo,ADJ,Adjudicada,2019-02-22 09:20:00,tradicional,2019-03-31 00:00:00,2018-07-23 17:07:47,,
